id,image_urls
WWb4zqQiDM8kdEhEjrtQea,"https://assets.mercari-shops-static.com/-/small/plain/5xpK3yAEMUFpnosQuFwUKd.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/9XX8Pb5QrM6CEeywFHXpre.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/QUMZwyHdAe7X7YMKqo6mAE.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/2dPJke4xpYM5XeYpfjATPS.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/54ozoRHzjCP8nUTXtxmoVi.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/FnU89kqchb22j8TXzKtz3j.jpg@jpg"
BqCjVEB9XpAoqBn5SNzYUY,"https://assets.mercari-shops-static.com/-/small/plain/LVVPaHpPHGh3493tX8GzZK.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/mwH2UJooZ9PGXDyEFTk8Rg.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/7cDhS9dfMDKXJAmD73NtVi.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/vQBwgDXyEZyVricyszfdQ6.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/45ukKozC2yfHhWKhysJ4GU.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/WJJg5XaMhLUBczJMvs73aS.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/6TNpLMX54YVK4xRtkAGyy4.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/Lw7huHz539L9vWoUhnhJob.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/xzWwnEkuyABKnRZsYdGQ8Z.jpg@jpg"
aQBgX5frtob9LXvnxVxzs9,"https://assets.mercari-shops-static.com/-/small/plain/83HAqnPdpJtZ6xR4mTnMTo.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/dpHkjhjhCF9jkXJb9xfAc3.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/eSK9hsX63kzoeRXKKQcdjc.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/RKCvtspRxN4WQyhYPCtSui.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/pJnH2TBYB69haK7GzuZD36.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/G2ge66qehmSks8YfzTJiLV.jpg@jpg"
msuKHEnxyHndcSzMXjpEaL,"https://assets.mercari-shops-static.com/-/small/plain/zUELe2YkxqfNFvMtperyf5.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/vqUkqv9ZqrAUapJ489oWkD.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/tj6PAcPmwSQPkCEfqsnbPL.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/nUQeovTAZAyX9zbSwoKfgC.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/PQtoWsv2ccbqmr8eUdVqfG.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/bzywk7EJCtum9qeD47YzG9.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/Na4gC2rDq7avF3X2dSEyph.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/Zmq7ukZ9dpEdvKKmTKBkKg.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/sxfAp2ngfQJFHAmXuhCN5P.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/XqLy2zPryhWDdhakx3qsEg.jpg@jpg"
GMwp2a8dEVuHupSAkAhXvV,"https://assets.mercari-shops-static.com/-/small/plain/KwuZV4WvdbHn2KUPhN4Q5.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/2iSAAYxU36YoH8oF3iSp6o.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/9vG4sDBQKHd5PDMAQfpS4i.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/SBUK78XDFtVGSFQSFYjk5N.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/wMCNsLi2AwzgQhjvMv8D6J.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/kDLqAKCSZTwQwYUzCi5zYb.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/bh5Qh65nRctENSMGGvecW3.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/McGnKDBmuSFUuh8qRnVEaL.jpg@jpg, https://assets.mercari-shops-static.com/-/small/plain/6fVQfWbVUAVCoCeehau4aN.jpg@jpg"
